resource_id,resource_type,version_id
1F342D93-0549-11F0-94E9-0671E352DA21,Patient,1
1F367752-0549-11F0-94E9-0671E352DA21,Patient,1
1F388782-0549-11F0-94E9-0671E352DA21,Patient,1
1F3ABE86-0549-11F0-94E9-0671E352DA21,Patient,1
1F3D02A6-0549-11F0-94E9-0671E352DA21,Patient,1
1F3F2E1A-0549-11F0-94E9-0671E352DA21,Patient,1
1F41692E-0549-11F0-94E9-0671E352DA21,Patient,1
1F43A8FA-0549-11F0-94E9-0671E352DA21,Patient,1
1F45E73D-0549-11F0-94E9-0671E352DA21,Patient,1
1F481EF3-0549-11F0-94E9-0671E352DA21,Patient,1
1F4A5086-0549-11F0-94E9-0671E352DA21,Patient,1
1F4CB3F0-0549-11F0-94E9-0671E352DA21,Patient,1
1F4EC873-0549-11F0-94E9-0671E352DA21,Patient,1
1F50F35D-0549-11F0-94E9-0671E352DA21,Patient,1
1F534BED-0549-11F0-94E9-0671E352DA21,Patient,1
1F558FA1-0549-11F0-94E9-0671E352DA21,Patient,1
1F5799AC-0549-11F0-94E9-0671E352DA21,Patient,1
1F59C641-0549-11F0-94E9-0671E352DA21,Patient,1
1F5BE4F2-0549-11F0-94E9-0671E352DA21,Patient,1
1F5E1EA3-0549-11F0-94E9-0671E352DA21,Patient,1
1F6067B3-0549-11F0-94E9-0671E352DA21,Patient,1
1F628D01-0549-11F0-94E9-0671E352DA21,Patient,1
1F64E8EE-0549-11F0-94E9-0671E352DA21,Patient,1
1F66DD60-0549-11F0-94E9-0671E352DA21,Patient,1
1F68ECF0-0549-11F0-94E9-0671E352DA21,Patient,1
1F6B15E0-0549-11F0-94E9-0671E352DA21,Patient,1
1F6D46CE-0549-11F0-94E9-0671E352DA21,Patient,1
1F6F7673-0549-11F0-94E9-0671E352DA21,Patient,1
1F71BABC-0549-11F0-94E9-0671E352DA21,Patient,1
1F73DD04-0549-11F0-94E9-0671E352DA21,Patient,1
1F75F484-0549-11F0-94E9-0671E352DA21,Patient,1
1F78248C-0549-11F0-94E9-0671E352DA21,Patient,1
1F7A2049-0549-11F0-94E9-0671E352DA21,Patient,1
1F7C1A79-0549-11F0-94E9-0671E352DA21,Patient,1
1F7E7A89-0549-11F0-94E9-0671E352DA21,Patient,1
1F80797E-0549-11F0-94E9-0671E352DA21,Patient,1
1F82A7C1-0549-11F0-94E9-0671E352DA21,Patient,1
1F84E3C4-0549-11F0-94E9-0671E352DA21,Patient,1
1F874504-0549-11F0-94E9-0671E352DA21,Patient,1
1F89700F-0549-11F0-94E9-0671E352DA21,Patient,1
1F8BB2D7-0549-11F0-94E9-0671E352DA21,Patient,1
1F8DFAD8-0549-11F0-94E9-0671E352DA21,Patient,1
1F9059B3-0549-11F0-94E9-0671E352DA21,Patient,1
1F92BA74-0549-11F0-94E9-0671E352DA21,Patient,1
1F950F6C-0549-11F0-94E9-0671E352DA21,Patient,1
1F97381E-0549-11F0-94E9-0671E352DA21,Patient,1
1F9932C3-0549-11F0-94E9-0671E352DA21,Patient,1
1F9B55A5-0549-11F0-94E9-0671E352DA21,Patient,1
1F9D8D14-0549-11F0-94E9-0671E352DA21,Patient,1
1F9F9CA0-0549-11F0-94E9-0671E352DA21,Patient,1
1FA1D871-0549-11F0-94E9-0671E352DA21,Patient,1
1FA40C47-0549-11F0-94E9-0671E352DA21,Patient,1
1FA65E93-0549-11F0-94E9-0671E352DA21,Patient,1
1FA85726-0549-11F0-94E9-0671E352DA21,Patient,1
1FAAA499-0549-11F0-94E9-0671E352DA21,Patient,1
1FACCD2D-0549-11F0-94E9-0671E352DA21,Patient,1
2107DA42-0549-11F0-94E9-0671E352DA21,Patient,1
210BD541-0549-11F0-94E9-0671E352DA21,Patient,1
210E01F5-0549-11F0-94E9-0671E352DA21,Patient,1
21105296-0549-11F0-94E9-0671E352DA21,Patient,1
21128ACA-0549-11F0-94E9-0671E352DA21,Patient,1
2114CD1F-0549-11F0-94E9-0671E352DA21,Patient,1
2116CFB1-0549-11F0-94E9-0671E352DA21,Patient,1
211910F5-0549-11F0-94E9-0671E352DA21,Patient,1
211B55C9-0549-11F0-94E9-0671E352DA21,Patient,1
211DB12B-0549-11F0-94E9-0671E352DA21,Patient,1
211FC6DC-0549-11F0-94E9-0671E352DA21,Patient,1
2121CD8E-0549-11F0-94E9-0671E352DA21,Patient,1
21240CDD-0549-11F0-94E9-0671E352DA21,Patient,1
21264CA4-0549-11F0-94E9-0671E352DA21,Patient,1
21287420-0549-11F0-94E9-0671E352DA21,Patient,1
212AD5EA-0549-11F0-94E9-0671E352DA21,Patient,1
212D3A36-0549-11F0-94E9-0671E352DA21,Patient,1
212F68C1-0549-11F0-94E9-0671E352DA21,Patient,1
2131AFC4-0549-11F0-94E9-0671E352DA21,Patient,1
2133EC77-0549-11F0-94E9-0671E352DA21,Patient,1
2135EE11-0549-11F0-94E9-0671E352DA21,Patient,1
213830BD-0549-11F0-94E9-0671E352DA21,Patient,1
213A33F4-0549-11F0-94E9-0671E352DA21,Patient,1
213C8F0D-0549-11F0-94E9-0671E352DA21,Patient,1
213E91D2-0549-11F0-94E9-0671E352DA21,Patient,1
2140DA72-0549-11F0-94E9-0671E352DA21,Patient,1
21430C10-0549-11F0-94E9-0671E352DA21,Patient,1
214553BC-0549-11F0-94E9-0671E352DA21,Patient,1
214798CF-0549-11F0-94E9-0671E352DA21,Patient,1
2149E6DB-0549-11F0-94E9-0671E352DA21,Patient,1
214C564D-0549-11F0-94E9-0671E352DA21,Patient,1
214E87ED-0549-11F0-94E9-0671E352DA21,Patient,1
2151C2A2-0549-11F0-94E9-0671E352DA21,Patient,1
21541AE3-0549-11F0-94E9-0671E352DA21,Patient,1
21565096-0549-11F0-94E9-0671E352DA21,Patient,1
2158A07C-0549-11F0-94E9-0671E352DA21,Patient,1
215AD512-0549-11F0-94E9-0671E352DA21,Patient,1
